Source,Target,Type,Weight
plenus,archidiaconus,Undirected,1
decretum,dominus,Undirected,1
decretum,archidiaconus,Undirected,1
decretum,arbor1,Undirected,1
omne,contineo,Undirected,1
omne,abundus,Undirected,1
omne,complector,Undirected,1
omne,gratianus,Undirected,1
omne,nec,Undirected,1
omne,non,Undirected,1
omne,divisio,Undirected,1
omne,dominus,Undirected,1
omne,archidiaconus,Undirected,1
omne,arbor1,Undirected,1
omne,consanguinitas,Undirected,1
contineo,abundus,Undirected,1
contineo,complector,Undirected,1
contineo,gratianus,Undirected,1
contineo,nec,Undirected,1
contineo,non,Undirected,1
contineo,divisio,Undirected,1
contineo,dominus,Undirected,1
contineo,archidiaconus,Undirected,1
contineo,arbor1,Undirected,1
contineo,consanguinitas,Undirected,1
contineo,affinitas,Undirected,1
abundus,complector,Undirected,1
abundus,gratianus,Undirected,1
abundus,nec,Undirected,1
abundus,non,Undirected,1
abundus,divisio,Undirected,1
abundus,dominus,Undirected,1
abundus,archidiaconus,Undirected,1
abundus,arbor1,Undirected,1
abundus,consanguinitas,Undirected,1
abundus,affinitas,Undirected,1
abundus,penitentialis,Undirected,1
complector,gratianus,Undirected,1
complector,nec,Undirected,1
complector,non,Undirected,1
complector,divisio,Undirected,1
complector,dominus,Undirected,1
complector,archidiaconus,Undirected,1
complector,arbor1,Undirected,1
complector,consanguinitas,Undirected,1
complector,affinitas,Undirected,1
complector,penitentialis,Undirected,1
complector,canon,Undirected,1
gratianus,nec,Undirected,1
gratianus,non,Undirected,1
gratianus,divisio,Undirected,1
gratianus,dominus,Undirected,1
gratianus,archidiaconus,Undirected,1
gratianus,arbor1,Undirected,1
gratianus,consanguinitas,Undirected,1
gratianus,affinitas,Undirected,1
gratianus,penitentialis,Undirected,1
gratianus,canon,Undirected,1
gratianus,addo,Undirected,1
nec,non,Undirected,1
nec,divisio,Undirected,1
nec,dominus,Undirected,1
nec,archidiaconus,Undirected,1
nec,arbor1,Undirected,1
nec,consanguinitas,Undirected,1
nec,affinitas,Undirected,1
nec,penitentialis,Undirected,1
nec,canon,Undirected,1
nec,addo,Undirected,1
nec,adicio,Undirected,1
non,divisio,Undirected,1
non,dominus,Undirected,1
non,archidiaconus,Undirected,1
non,arbor1,Undirected,1
non,consanguinitas,Undirected,1
non,affinitas,Undirected,1
non,penitentialis,Undirected,1
non,canon,Undirected,1
non,addo,Undirected,1
non,adicio,Undirected,1
non,insuper,Undirected,1
divisio,dominus,Undirected,1
divisio,archidiaconus,Undirected,1
divisio,arbor1,Undirected,1
divisio,consanguinitas,Undirected,1
divisio,affinitas,Undirected,1
divisio,penitentialis,Undirected,1
divisio,canon,Undirected,1
divisio,addo,Undirected,1
divisio,adicio,Undirected,1
divisio,insuper,Undirected,1
divisio,littera,Undirected,1
dominus,archidiaconus,Undirected,1
dominus,arbor1,Undirected,1
dominus,consanguinitas,Undirected,1
dominus,affinitas,Undirected,1
dominus,penitentialis,Undirected,1
dominus,canon,Undirected,1
dominus,addo,Undirected,1
dominus,adicio,Undirected,1
dominus,insuper,Undirected,1
dominus,littera,Undirected,1
dominus,rubrus,Undirected,1
archidiaconus,arbor1,Undirected,1
archidiaconus,consanguinitas,Undirected,1
archidiaconus,affinitas,Undirected,1
archidiaconus,penitentialis,Undirected,1
archidiaconus,canon,Undirected,1
archidiaconus,addo,Undirected,1
archidiaconus,adicio,Undirected,1
archidiaconus,insuper,Undirected,1
archidiaconus,littera,Undirected,1
archidiaconus,rubrus,Undirected,1
archidiaconus,color,Undirected,1
arbor1,consanguinitas,Undirected,1
arbor1,affinitas,Undirected,1
arbor1,penitentialis,Undirected,1
arbor1,canon,Undirected,1
arbor1,addo,Undirected,1
arbor1,adicio,Undirected,1
arbor1,insuper,Undirected,1
arbor1,littera,Undirected,1
arbor1,rubrus,Undirected,1
arbor1,color,Undirected,1
arbor1,imprimo,Undirected,1
consanguinitas,affinitas,Undirected,1
consanguinitas,penitentialis,Undirected,1
consanguinitas,canon,Undirected,1
consanguinitas,addo,Undirected,1
consanguinitas,adicio,Undirected,1
