"""Sammlung derer Kayserlichen- Chur- und Reichsfürstlich-Landesherrlichen Verordnungen und Rescripten, welche in... 1767""",12,sammlung kaiser chur reich fürst land herr verordnung rescript,9
Electa Juris Publici,3,eligo jus publicus,3
"""Decisiones Camerales novae, Adr. Gistmann [Decisionum sive rerum in camera imperiali judicatarum , libri duo, plane novi et hactenus non visi]""",21,decisio cameralis novus adr gistman decisio res cammer imperium judico liber4 duo planus1 novus video,15
Symphorematis supplicationum pro processibus super omnibus ac singularis imperii Romani constitutionibus in supremo camerae imperalis auditorio impltrandis,17,symphoremata supplicatio processus2 omne singularis imperium roma constitutio superus cammer imperalis auditorium impetrandis,13
Commentarius de contrahenda et committenda stipulatione,6,commentarius contractus2 committo stipulatio,4
[mehrere Schriften],2,schrift,1
Collectio constitutionum Imperialium,3,collectio constitutio imperium,3
"""Copeylicher Begriff Reichs-Satzungen und anderer... Constitutionen, Ordnungen, Rescript und Auschreiben""",10,copeylicher begriff reich satzung constitutio ordnung rescript ausschreiben,8
"""Recessus, Constitutiones, Ordinationes et Rescripta in Publicis Comitiis promulgata""",9,recessus2 constitutio ordinatio rescribo publicus comitium promulgo,7
Commentariorum variarumque resolutionum iuris civilis communis et regii tomi tres,10,commentarius varius1 resolutio jus civilis1 communis regius tomus tres,9
De tutelis Electoralib testamentariis legitimas excludentibus,6,tutela elector testamentarius legitimus excludo,5
Decisiones rotae provinciae Marchiae,4,decisio rota provincialis marchia,4
Syntagma juris universi Petr Greg Tholosani,6,syntagma jus universus petrus greg tolosa,6
"""Codex diplomaticus : exhibens anecdota ab anno DCCCLXXXI ad MCCC Moguntiaca, ius Germanicum et S.R.I. historiam illustrantia""",17,codex diplomaticus exhibeo anecdota annum dccclxxxi mccc mainz jus german* sacer romanus imperium historia illustratio,15
"""Cabinetsthaler (Uncialaeum selectum Wetzlariense, das ist genaue Recensir- und Beschreibung eines gesammleten Vorraths ausserlesener Cabinets-Thaler)""",15,cabinetsthaler uncialaeum selectus wetzlar gena recensir beschreibung gesammelt uorraths auserlesen cabinet thaler,12
Glossarium Germanicum medii aevi,4,glossa german* medius aevum,4
Elementa iuris Germanici tum veteris tum hodierni,7,elementum jus german* vetus hodiernus,5
De veteribus Germanorum aliarumque nationum sigillis eorumque usu et praestantia syntagma historicum,12,vetus german* natio sigilla usus praesto2 syntagma historicus,8
"""Rerum Germanicarum tres selecti Scriptores inprimis de Vitis et Factis Caroli Magni, imperatoris necnon Witikindi Magni, regis saxonum, hactenus desiderati : accesserunt etiam Guillielmi Budaei, doct. med., Thanatologia item Capitulatio Osnabrugensis cum Catalogo omnium Monasteriorum Ecclesiarumque in Episopatu Osnabrugensi, et tandem Acta Formulae Concordiae in coenobio Bergensi revisae, quibus praefixa est Praefatio Johan. Georg Leuckfeldi""",55,res german* tres selectus scriptor imprimis vita facio carolus magnus imperator nec non witikindus rex saxonicus desidero accedo guillielmi budaeus doctor thanatologia capitulatio osnabrugensis catalogus omne monasterium ecclesia episcopatus osnabrugensis tandem actum formula concordia1 coenobium bergensi reuisus praefigo praefatio iohannis georg leuckfeldi,42
Landesbeschreibung,1,land beschreibung,2
Repertorium Reale Practicum Iuris Privati Imperii Romano-Germanici Oder Vollständige Sammlung aller üblichen und Brauchbaren Rechte im Heil. Römischen Reiche und den benachbarten Landen,23,repertorium reale practicus jus priuatus imperium romanus german* vollständig sammlung üblich brauchbar recht heilig roma reich benachbart land,18
Genealogia Diplomatica Augustae Gentis Habsburgicae,5,genealogia diplomaticus augustus1 gens habsburg,5
Jurisprudentia feudalis,2,iurisprudentia feudum,2
Reichs Handlungen und Ausschreib. von 1546-1558,6,reich handlung ausschreiben,3
Von den Ursachen deß Teutschen Kriegs Käiser Carls deß V. wider die Schmalkaldische Bunds-Oberste...,14,ursache dess deutsch krieg kaiser carolus wider schmalkaldische bund obserst,10
De feudis commentatio triparta,4,feudum commentatio tripartus,3
flsassische Gram[] [Herzog Elsassisch Gericht?],5,elsassisch gram herzog elsassisch gericht,5
"""Opera (Opera, quae quidem obtineri potuerunt omnia)""",7,opus1 obtineo omne,3
De substitut tractatus,3,substitut tractatus,2
Tractatus de feudis,3,tractatus feudum,2
Rerum Moguntiae,2,res mainz,2
Annales Ferdinand[],2,annalis ferdinand,2
"""Sammlung Fuerstlich Hessischen Landes Ordungen, 1337-1627""",6,sammlung fürst hesse land ordnung,5
De Fideicommissis familiarum nobilium,4,fideicommitto familia nobilis,3
Wöchentlichen historischen Münz-Belustigung,3,wöchentlich historia münz belustigung,4
Proben des Teutschen Lehn Rechts,5,probus1 deutsch lehen recht,4
Handbuch zur Kenntnis der Hessen-Casselischen Landes Verfassung,7,handbuch kenntnis hesse cassel land verfassung,6
Commentatio in constitutionem criminalem Caroli V,6,commentatio constitutio criminalis carolus,4
Gegruendete Abhandlung von denen Erb-Hof-Aemtern der Landgraffschaft Hessen,8,gegründet abhandlung erb hof amt land graf hesse,8
Decisiones [Decisiones quamplurimorum casuum?],4,decisio quamplurimorum casus1,3
Beyträge zur Beschreibung des Hessischen Kirchenstats,6,beitrage beschreibung hesse kirche staat,5
Hessisches Kirchenrecht (Versuch einer Anleitung zum Hessen-Casselischen Kirchen-recht),8,hesse kirche recht uersuch anleitung hesse cassel kirche recht,9
Kleine Schriften,2,schrift,1
Consilia feudalia in varior Doctorum scripti diligentiis collecta,8,consilium feudalis varius1 doctor scribo diligentiis collectus,7
Aot. Par religionis (De pace religionis acta publica et originalia),10,aot par religio pax actum publicus original,7
Chronica Der Freyen Reichs-Statt Speyer,5,chronicon frei reich speyer,4
Abhandlung von der Leyhe zu Landsiedel Recht,7,abhandlung leihe land siedel recht,5
Codex probationum,2,codex probatio,2
Acta Publica...,2,actum publicus,2
Suppletus et continuatio sive Acta Publica... Allerhand Denckwürdige Schriftliche Handlungen,10,suppleo continuatio actum publicus allerhand denkwurdig schrift handlung,8
Reliqviae manvscriptorvm omnis aevi diplomatvm ac monumentorvm ineditorvm adhvc,9,reliquiae manuscript omne aevum diplomaticus monumentum ineditus adhuc,8
Codex Germanici diplomaticus,3,codex german* diplomaticus,3
Codex Italia Diplomaticus,3,codex italia diplomaticus,3
Collectio nova worin die Mittelbar oder Landsaessige Ritterschaft in Teutschland Schriftsam enthaelt,12,collectio novus wori mittelbar land saessig ritterschaft deutschland schriftsam enthalten,10
Corpus Iuris Feudalis Germanici,4,corpus jus feudum german*,4
Corpus Iuris Militaris,3,corpus jus militaris,3
Europäische Staats-Consilia,2,europa staat consilium,3
Friderene der Gresten w. herrn,5,fridere greste herr,3
Grundfeste Europäischer Potenzen Gerechtsame,4,grundfeste europa potenze gerechtsam,4
"""Haupt-Register über das teutsche Reichs-Archiv, auch dessen """"Continuationes"""" und """"Spicilegia""""...""",10,haupt register deutsch reich archiv continuatio spicilegia,7
Selecta Scripta Illustria,3,selecta scriptus illustris,3
Spicilegium ecclesiasticum continuatio,3,spicilegium ecclesiastes continuatio,3
Spicilegium ecclesiasticum der Teutschen Reichs Archivs,6,spicilegium ecclesiastes deutsch reich archius,5
Spicilegium seculare der teutschen Reichsarchivs,5,spicilegium saecularis deutsch reich archiv,5
"""Teutsche Reichs-Archiv [4], Des Teutschen Reichs-Archivs Partis Generalis oder Corporis Juris Publici Romano-Germanici Continuatio II""",15,deutsch reich archiv archius pars generalis corpus jus publicus romanus german* continuatio,12
"""Teutsches Reichs-Archiv [1], Pars Generalis, nebst dessen Continuation, Welcher in sich begreifft, ein vollkommenes Corpus Juris Publici des Heiligen Römischen Reichs Teutscher Nation... """,24,deutsch reich archiv pars generalis continuatio begriffen vollkommen corpus jus publicus heilig roma deutsch natio,15
"""Teutsches Reichs-Archiv, und zwar Pars Specialis, nebst dessen I. II. III. und IV. Continuation""",14,deutsch reich archiv pars specialis iii continuatio,7
Teutsches Rs Archiv partis spec[ialis] continuatio[nes] 1-4,7,deutsch rs archiv pars specialis continuatio,6
Theatrum Ceremoniale Historico-Politicum Oder Historisch- und Politischer Schau-Platz Aller Ceremonien,10,theatrum ceremonial historicus politicus historia politischer schau platz ceremonium,9
"""Thesaurus Iuris derer Grafen und Herren des Heil. Röm. Reichs, worinn von deren Ursprunge, Wachsthum, Praerogativen und Serechtsamen gehandelt ... wird""",21,thesaurus jus graf herr heilig roma reich worin ursprung wachsthum praerogatiue gerechtsame gehandelt,13
Bibel durch D. Luther verdeutscht,5,biblia luther uerdeutscht,3
Biblia germanica,2,biblia german*,2
Libertas Statuum Imperii,3,libertas status imperium,3
"""Speculum (Tractatvs de ordine ivdiciorvm, vulgo speculum aureum, & lumen aduocatorum : accesserunt, disputationes decem quaestionum legalium repetitio preterea in L. Is. potest. de acq. Hered)""",26,speculum tractatus ordo judicium vulgo2 aureus lumen advoco accedo disputatio quaestio legalis repetitio preterea acq hereditas,16
Decisiones aurea in Delphinatus Senatu discussa,6,decisio aureus delphinatus senatus discussio,5
Thesaurus novus anecdotorum,3,thesaurus novus anecdota,3
Decisiones novae Tholosanae,3,decisio novus tolosa,3
Decisiones Diversarvm Cavsarvm In Camera Imperiali Ivdicatarvm Adivnctis Relationibus Actorum,10,decisio diuersus causa cammer imperium judico adjungo relatio actum,9
Acta comitialia Ratisbonensia publica... oder Regenspurgische Reichstags-Handlungen und Geschichte von den Jahren 1653. und 1654,15,actum comitialia ratisbon publicus regensburg reich tag handlung geschichte,9
Acta Pacis executionis publica,4,actum pax executio publicus,4
Acta Pacis Westphalicae publica,4,actum pax westphalia publicus,4
"""De praesumptionibus, coniecturis, signis, & indiciis, commentaria""",7,praesumptio conicio signum index commentarius,5
Decisiones super causis praecipuis ad summum tribunal regium Vismariense delatis (cura Johann Jacob von Ryssel),15,decisio causa praecipuus summus tribunal regius uismariense delatus curo iohannis iacob ryssel,12
Theoretische Einleitung in die praktische Münzwissenschaft und eine genaue Prüfung und Kenntniss des Goldes und Silbers nach der deutschen und französischen Mark,22,theoria einleitung praktisch münz wissenschaft gena prüfung kenntnis gold silbers deutsch franzoesisch mark,13
"""Repertorium aureum... Opus Singularium Dictorum, Cum Apostillis Antea Positis, Et Auctum Quamplurimis etiam ultra singularia et notabilia Ludouici Romani, Mathesilani, et omnium Modernorum, per Henricum Ferrendar collectis""",27,repertorium aureus opus1 singularis dico2 apostolicus antea pono augeo quamplurimis ulter singularis notabilis ludouicus roma mathesilani omne modernus henricus ferrendar collectus,21
"""Praxis rerum criminal variorum auctorum, edit opera Franc Modii""",9,praxis res criminalis varius1 auctor editus opus1 franc modius,9
