Analecta Sacra: Uberbliebene Brocken,4,analecta sacer überbleiben brocke,4
Opera Pia et Spiritualia,4,opus1 pius spiritualia,3
Mausoleum,1,mausoleum,1
Ad Serenissimum [Hochzeitsglückwunsch auf Ludwig VI Landgraf zu Hessen-Darmstadt],9,serenissimum hochzeitsglückwunsch ludwig vis land graf hesse darmstadt,8
Cammergerichts Ordnung,2,cammer gericht ordnung,3
Der Statt Frankfurt Ernewerte Reformation,5,frankfurt erneuert reformatio,3
Carmen Scholasticum,2,carmen1 scholasticus,2
Collatio ad Concilium Francofurdiense,4,collatio concilium frankfurt,3
Fewerzeugk Gerichtlicher Ordnung,3,feuerzeug gericht ordnung,3
Theasurus Rerum Publicarum,3,thesaurus res publicus,3
Acta Publica,2,actum publicus,2
Unvorgreifliches Sentiment über die Neue Hanoverische Cur-Würde,7,unuorgreifliches sentiment hanoverisch,3
Gründlicher Unterricht Vom Urpsrung,4,gründlich unterricht ursprung,3
Ausführliche Beschreibung des Unfugs welchen die Pietisten zu Halberstadt,9,ausführlich beschreibung unfug pietisticus halberstadt,5
Horticultura,1,horticultura,1
"""Nova et Succincta, Vera Tamen Historia de Amplissimo Potentissimoque Regno China""",11,novus succingo verus historia amplus potens regno china,8
Collegium Institutionum Problematicum Medicinae,4,collegium institutio problematicus medicina,4
Opera Medico-Chirurgica: 1. Praxis Clinica Generalis ad Jonstoni Ideam,9,opus1 medicus chirurgica praxis clinicus generalis ionstoni ideam,8
Admiranda Microcosmi: Collegium Anthropologicum,4,admiror microcosmos collegium anthropologicus,4
Synopses Epitomes Medicinae Practicae,4,synopsis epitome medicina practicus,4
Aerarium Medicum,2,aerarius medicus,2
Catalogus Omnium Librorum: Qui in Utroque Thesauro Antiquitatum Romanarum et Graecarum,11,catalogus omne liber4 utriusque thesaurus antiquitas romanus graecus,8
Dendrologiae,1,dendrologia,1
Critica Historico-Chronologica in Annales Baronii,5,criticus historicus chronologia annalis baro,5
Processus Cameralis,2,processus2 cammer,2
Supplicationes Camerales,2,supplicatio cameralis,2
Biblia Hebraica,2,biblia hebraeus,2
Vocabularium Majus: Latino-Germanicum,3,uocabularius magnus latinus german*,4
Novum Testamentum Graece,3,novus testamentum graecus,3
Geistliche Erkwick-Stunden,2,geistlich erquicken stunde,3
Vitae Excellentium Imperatorum,3,uita excello imperator,3
Oeconomia: Hausbuch,2,oeconomia hausbuch,2
Biblia: Die Gantze Heilige Schrift,5,biblia heilig schrift,3
Biblia Hebraica Non Punctata,4,biblia hebraeus punctatus,3
Leben Christi,2,lebe christus,2
Genealogicarum Tabellarum,2,genealogicus tabella,2
Neu-augirte und Continuirte Chronica,4,neu augirt continuirt chronicon,4
Dasselische und Einbeckische Chronica,4,casselisch einbeckisch chronicon,3
Insignium Theoria: Operis Heraldici Pars Generalis,6,insignis theoria opus1 heraldicus pars generalis,6
Syntagma Inscriptionum Antiquarum,3,syntagma inscriptio antiquus,3
Theatrum Virorum Eruditione Clarorum,4,theatrum vir eruditio clarus,4
Opera Exegetica,2,opus1 exegetica,2
Liber Heroidum Epistolarum,3,liber4 herois epistula,3
Historia et Antiquitates Universitatis Oxoniensis,5,historia antiquitas universitas oxoniensis,4
Catalogus Impressorum Librorum Bibliothecae Bodleianae in Academia Oxoniensi,8,catalogus impressorum liber4 bibliotheca bodleiana academia oxoniensis,7
Opera Omnia,2,opus1 omne,2
Thesaurus ex Thesauro Palatino Selectus,5,thesaurus thesaurus palatina selectus,4
Plinianae Exercitationes,2,plinius exercitatio,2
Adversaria Commentaria,2,adversarius commentarius,2
Plinianae Exercitationes,2,plinius exercitatio,2
Plutarchi Chaeronensis Quae Extant Omnia,5,plutarchus chaeronensis existere omne,4
Platonis Opera Quae Extant Omnia,5,plato opus1 existere omne,4
Theologia Exegetica,2,theologia exegetica,2
Biblia et Historico-Harmonica,3,biblia historicus harmonicus,3
Opera Georgii Majoris,3,opus1 georg magnus,3
Opera Theologica,2,opus1 theologicus,2
Das Vierdte Hundert Episteln: Sendschreiben,5,uierdte hundert epistula sendschreibe,4
"""Syntagma Tractatum de Imperiali Jurisdictione, Authoritate et Praeeminentia""",8,syntagma tractatus imperium jurisdictio authoritas praeeminentia,6
De Tranquillitate Animi et Tractatus de Providentia Dei,8,tranquillitas animus tractatus provideo deus,5
Antiquitatum Romanarum,2,antiquitas romanus,2
Thesaurus Graecae Linguae,3,thesaurus graecus lingua,3
Hispania Illustrata,2,hispania illustratio,2
Historiae Romanae,2,historia roma,2
Historiae Herodoti Et Thucydidis,4,historia herodotus thucydides,3
Bibliotheca Historica,2,bibliotheca historicus,2
Polybii Historia,2,polybius historia,2
Philosophi et Imperatoris Clarissimi: Extant Opera,6,philosophus imperator clarus existere opus1,5
Accurata Graeciae Descriptio,3,accuratus graecus descriptio,3
Rerum Bohemicarum Antiqui Scriptores,4,res bohemia antiquus scriptor,4
Peribologia,1,peribologia,1
Peribologia,1,peribologia,1
In Ezechielem Explanationes,3,ezechiel explanatio,2
Annales Suevici,2,annalis sueuici,2
Annales Ecclesiae Britannicae,3,annalis ecclesia britannia,3
